x,y,z,t,pos,HCP0.5,PRP0.6,HCP1.0,PRP1.1,HCP2.0,PRP2.1,HCP0.5_inph,PRP0.6_inph,HCP1.0_inph,PRP1.1_inph,HCP2.0_inph,PRP2.1_inph
553882.4806,5645517.784,26.518,43026.14,0,31.13398235,16.69457786,55.72120368,34.91049649,56.39348424,52.00179961,0.882913425,0.796558379,0.872464714,0.05770407,1.232942597,-2.793941949
553882.5463,5645517.706,26.518,43026.04,0.101982792,31.13398235,16.69457786,55.62120368,34.71049649,56.39348424,51.70179961,0.882913425,0.796558379,0.872464714,0.06770407,1.232942597,-2.773941949
553882.67,5645517.551,26.528,43025.9,0.300292374,30.93398235,16.69457786,55.42120368,34.41049649,55.89348424,51.50179961,0.882913425,0.796558379,0.872464714,0.07770407,1.182942597,-2.723941949
553882.7072,5645517.503,26.538,43025.84,0.361019963,30.93398235,16.69457786,55.12120368,34.41049649,55.89348424,51.20179961,0.882913425,0.796558379,0.872464714,0.07770407,1.182942597,-2.663941949
553882.7911,5645517.394,26.538,43025.73,0.498570716,30.73398235,16.59457786,54.82120368,33.81049649,55.89348424,50.80179961,0.882913425,0.796558379,0.872464714,0.05770407,1.182942597,-2.623941949
553882.8919,5645517.258,26.547,43025.63,0.667853438,30.63398235,16.49457786,54.62120368,33.61049649,55.79348424,50.40179961,0.882913425,0.796558379,0.872464714,0.04770407,1.212942597,-2.603941949
553882.931,5645517.204,26.547,43025.55,0.734522847,30.63398235,16.49457786,54.62120368,33.41049649,55.89348424,50.00179961,0.882913425,0.796558379,0.872464714,0.03770407,1.222942597,-2.593941949
553882.989,5645517.124,26.558,43025.47,0.833335802,30.63398235,16.39457786,54.72120368,33.41049649,56.09348424,50.00179961,0.882913425,0.786558379,0.882464714,0.03770407,1.222942597,-2.593941949
553883.0794,5645516.998,26.558,43025.39,0.988410494,30.53398235,16.29457786,54.82120368,33.21049649,56.19348424,49.80179961,0.882913425,0.786558379,0.882464714,0.02770407,1.212942597,-2.663941949
553883.1555,5645516.891,26.568,43025.32,1.119712474,30.43398235,16.19457786,55.02120368,33.11049649,56.39348424,49.90179961,0.882913425,0.796558379,0.882464714,0.02770407,1.212942597,-2.713941949
553883.2315,5645516.782,26.568,43025.25,1.252592119,30.13398235,16.19457786,55.12120368,33.11049649,56.59348424,50.00179961,0.882913425,0.796558379,0.882464714,0.03770407,1.212942597,-2.753941949
553883.3086,5645516.669,26.579,43025.18,1.389389085,29.83398235,16.19457786,54.82120368,33.01049649,56.89348424,49.90179961,0.882913425,0.796558379,0.872464714,0.03770407,1.212942597,-2.773941949
553883.3736,5645516.574,26.579,43025.12,1.504497729,29.43398235,16.09457786,54.22120368,33.01049649,56.89348424,49.70179961,0.882913425,0.796558379,0.872464714,0.03770407,1.212942597,-2.773941949
553883.4276,5645516.494,26.589,43025.07,1.601017157,29.13398235,15.89457786,53.72120368,32.81049649,56.89348424,49.70179961,0.882913425,0.796558379,0.872464714,0.03770407,1.222942597,-2.773941949
553883.482,5645516.412,26.589,43025.02,1.699421222,29.13398235,15.69457786,53.62120368,32.51049649,56.79348424,49.60179961,0.882913425,0.796558379,0.872464714,0.03770407,1.222942597,-2.763941949
553883.5709,5645516.279,26.599,43024.94,1.859396876,29.13398235,15.49457786,54.12120368,32.31049649,56.59348424,49.50179961,0.882913425,0.796558379,0.872464714,0.02770407,1.222942597,-2.743941949
553883.6284,5645516.191,26.607,43024.89,1.964517046,29.13398235,15.29457786,54.42120368,32.11049649,56.39348424,49.40179961,0.882913425,0.796558379,0.882464714,0.02770407,1.232942597,-2.733941949
553883.6759,5645516.119,26.607,43024.85,2.05077393,29.13398235,15.29457786,54.32120368,31.91049649,56.39348424,49.30179961,0.882913425,0.796558379,0.872464714,0.03770407,1.232942597,-2.723941949
553883.7124,5645516.063,26.607,43024.82,2.117618899,29.13398235,15.29457786,54.12120368,31.71049649,56.69348424,49.30179961,0.882913425,0.796558379,0.872464714,0.03770407,1.242942597,-2.723941949
553883.9454,5645515.702,26.626,43024.65,2.547281558,29.13398235,15.29457786,54.12120368,31.61049649,56.89348424,49.30179961,0.882913425,0.796558379,0.872464714,0.03770407,1.242942597,-2.733941949
553884.5491,5645514.764,26.6823217,43024.13,3.662762481,29.13398235,15.09457786,54.12120368,31.61049649,56.39348424,49.60179961,0.882913425,0.796558379,0.872464714,0.04770407,1.212942597,-2.653941949
553884.6291,5645514.642,26.6969528,43024.06,3.808652851,29.23398235,15.09457786,54.12120368,31.61049649,56.39348424,49.60179961,0.882913425,0.796558379,0.882464714,0.05770407,1.212942597,-2.653941949
553884.7876,5645514.401,26.7099808,43023.93,4.097102587,29.33398235,15.19457786,54.12120368,31.71049649,56.39348424,49.60179961,0.882913425,0.796558379,0.882464714,0.05770407,1.212942597,-2.653941949
553884.9258,5645514.193,26.7221288,43023.83,4.346828917,29.33398235,15.39457786,54.32120368,31.91049649,56.29348424,49.80179961,0.882913425,0.806558379,0.872464714,0.06770407,1.222942597,-2.633941949
553885.0522,5645514.003,26.7327968,43023.72,4.575032686,29.43398235,15.49457786,54.32120368,32.21049649,55.99348424,49.70179961,0.882913425,0.796558379,0.872464714,0.05770407,1.252942597,-2.613941949
