,x,y,EC_0.60,EC_1.00,EC_end,HCP0.5,PRP0.6,HCP1.0,PRP1.1,HCP2.0,ID,wet_weight [g],dry_weight [g],gwc [%],bd [g/cm3],por [-],vwc [%],pH,CEC [meq/100g],clay [%],silt [%],sand [%],SOC [g/kg],SOM [%],hydra_vmc [%],hydra_tmp [C],hydra_ec [mS/m],hydra_ect [mS/m],hydra_ecp [mS/m],hydra_er [-],ec_pred_samples [mS/m]
0,107719.217,183325.902,41.33586800377714,45.93984734021656,49.48348251580763,28.42902737,17.95231427,45.57799098,31.72148095,48.59819047,1,186.41,149.08,25.04,1.54,0.42,38.48,6.6,15.16,22.84,42.13,35.03,19.3,3.9,35.2,14.7,44,51,197,23.72,295.1147134337979
1,107755.38,183330.719,23.972764458574662,34.966399233079926,44.675808175536964,15.76768605,7.945057254,35.64984847,16.95548968,46.22896543,2,183.24,149.18,22.83,1.54,0.42,35.11,6.36,6.33,10.27,50.16,39.57,12.2,2.4,31.1,14.6,16,19,89,20.2,111.08116210729987
2,107797.573,183278.754,65.23277607455788,83.3656601971714,98.51368885050094,46.01474319,21.78870963,84.40486785,46.63282962,97.77544716,3,185.88,146.05,27.27,1.51,0.43,41.06,6.6,9.75,14.07,45.87,40.06,17.2,3.4,33.3,14.0,27,32,135,22.04,229.8141336433991
3,107764.021,183318.064,17.872136384985776,28.104992325831482,37.52115864283767,11.86784239,6.545204223,28.95024488,12.85561178,40.1295172,4,188.61,150.72,25.14,1.55,0.41,39.06,6.33,5.8,11.24,47.2,41.57,12.8,2.6,29.7,13.1,16,19,95,19.11,146.57922822915302
4,107723.962,183309.768,53.861545545900995,54.87875646001607,54.63236324077435,36.14591498,23.96557563,55.30708566,42.2303065,51.04570816,5,172.27,128.89,33.66,1.33,0.5,44.72,6.6,16.57,26.08,39.9,34.01,23.0,4.6,31.2,14.6,38,44,204,20.32,413.5219345336927
5,107742.186,183329.741,41.991542473472606,50.65931288462059,57.47745708105161,28.09018432,14.72128506,52.22204212,31.11200676,55.621899,6,187.79,148.11,26.79,1.53,0.42,40.91,6.5,9.94,15.97,45.22,38.82,16.8,3.4,35.5,15.0,28,33,138,22.23,233.42582790054539
6,107805.967,183274.627,48.78596415721531,71.5403812553257,91.7044225142949,36.53223697,14.44219217,73.81762672,32.01878891,93.9091851,7,198.82,159.5,24.65,1.64,0.38,40.54,6.56,9.87,15.17,44.22,40.6,17.8,3.6,37.2,13.8,34,40,141,25.59,233.82185653741664
7,107758.627,183312.632,22.122017280540835,32.399115831545465,41.53423583860284,14.50325857,7.620208005,32.25111131,15.81573824,43.47209853,8,176.76,141.77,24.68,1.46,0.45,36.07,7.23,6.78,12.32,45.04,42.64,15.5,3.1,32.6,13.1,21,25,109,21.44,143.59853330514392
8,107775.955,183310.304,42.10210956951889,57.13463832112143,69.89676014662092,29.38485984,12.56147259,58.63160925,29.52256019,69.84124236,9,180.15,140.42,28.29,1.45,0.45,40.96,6.56,6.15,11.63,49.87,38.5,12.5,2.5,36.3,13.3,21,25,92,24.76,156.28599294110995
9,107726.276,183318.74,55.80184364453661,58.5301774743213,59.575950487830255,37.32275994,22.84734336,60.41017533,43.22640031,55.04520192,10,198.72,156.18,27.24,1.61,0.39,43.86,6.56,15.77,25.91,38.83,35.25,25.9,5.2,41.3,14.6,60,70,211,29.46,410.15179585503097
10,107766.277,183327.202,21.05065562771648,32.64895520447015,43.11370252014818,14.72590955,6.728799159,33.5301666,14.21272239,45.22368901,11,185.24,149.44,23.96,1.54,0.42,36.91,6.19,5.18,11.69,49.72,38.59,14.2,2.8,32.2,14.6,17,20,89,21.1,122.87015607021466
11,107776.704,183299.184,43.756840354158335,60.784384761229326,75.46452041151748,30.71323681,13.3379866,61.31229658,30.4331007,76.52154269,12,200.43,161.15,24.37,1.66,0.37,40.49,6.49,7.25,12.27,47.86,39.87,13.7,2.7,42.2,13.7,39,46,134,30.4,221.3451782390375
12,107751.262,183298.058,47.91413385605146,56.49534063789086,63.104892217013436,32.40921229,17.25235072,57.39409953,35.78832173,60.99584002,13,187.05,143.82,30.06,1.48,0.44,44.57,6.6,11.74,20.3,39.88,39.82,19.0,3.8,47.6,14.7,55,64,154,36.07,309.5562001826898
13,107732.92,183327.634,39.80490342337854,49.8419457171997,58.054401620209404,26.18431098,13.94692523,50.26910921,29.63044262,57.51000088,14,183.39,142.28,28.89,1.47,0.45,42.38,6.79,13.42,22.24,38.55,39.21,18.9,3.8,44.0,14.9,49,57,155,32.3,282.264609844988
14,107776.346,183291.133,50.3668825400791,66.6956073465247,80.8716630395516,36.29349058,17.38688607,67.8091877,35.69099871,81.80666554,15,190.8,146.8,29.97,1.51,0.43,45.36,6.76,9.32,15.22,46.16,38.62,14.0,2.8,47.5,14.6,52,60,144,36.05,298.9320377931498
